Image Name,Site,Substrate,Auto,ISO,ShutterSpeed,FocalLength,FStop,WhiteBalance,FNU,DOC,Flow,Secchi,TSS
P1010001.JPG,lab-4gal bucket,,y,160,0.008,4.5,2,0,0.29,,n,y,
P1010003.JPG,lab-4gal bucket,,y,200,0.0125,4.5,2,0,0.29,,n,y,
P1010004.JPG,lab-4gal bucket,,y,200,0.0125,4.5,2,0,7.11,,n,y,
P1010005.JPG,lab-4gal bucket,,y,200,0.01,4.5,2,0,7.11,,n,y,
P1010006.JPG,lab-4gal bucket,,y,200,0.016666667,4.5,2,0,10.85,,n,y,
P1010007.JPG,lab-4gal bucket,,y,200,0.02,4.5,2,0,10.85,,n,y,
P1010008.JPG,lab-4gal bucket,,y,200,0.025,4.5,2,0,17.3,,n,y,
P1010009.JPG,lab-4gal bucket,,y,200,0.02,4.5,2,0,17.3,,n,y,
P1010010.JPG,lab-4gal bucket,,y,200,0.02,4.5,2,0,21.4,,n,y,
P1010011.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,21.4,,n,y,
P1010012.JPG,lab-4gal bucket,,y,250,0.033333333,4.5,2,0,29.8,,n,y,
P1010013.JPG,lab-4gal bucket,,y,200,0.025,4.5,2,0,29.8,,n,y,
P1010014.JPG,lab-4gal bucket,,y,200,0.025,4.5,2,0,34.2,,n,y,
P1010015.JPG,lab-4gal bucket,,y,200,0.025,4.5,2,0,34.2,,n,y,
P1010016.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,38.4,,n,y,
P1010018.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,38.4,,n,y,
P1010019.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,45.7,,n,y,
P1010020.JPG,lab-4gal bucket,,y,250,0.033333333,4.5,2,0,45.7,,n,y,
P1010021.JPG,lab-4gal bucket,,y,320,0.033333333,4.5,2,0,48.2,,n,y,
P1010022.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,48.2,,n,y,
P1010023.JPG,lab-4gal bucket,,y,200,0.033333333,4.5,2,0,52.1,,n,y,
P1010024.JPG,lab-4gal bucket,,y,320,0.033333333,4.5,2,0,52.1,,n,y,
P1010025.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.0125,4.5,2,0,0.3,,n,y,
P1010026.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.016666667,4.5,2,0,0.3,,n,y,
P1010027.JPG,lab-4galBucket-blackInkOnly,none,y,250,0.033333333,4.5,2,0,0.3,,n,y,
P1010028.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.033333333,4.5,2,0,0.3,,n,y,
P1010029.JPG,lab-4galBucket-blackInkOnly,none,y,320,0.033333333,4.5,2,0,0.3,,n,y,
P1010030.JPG,lab-4galBucket-blackInkOnly,none,y,250,0.033333333,4.5,2,0,0.3,,n,y,
P1010031.JPG,lab-4galBucket-blackInkOnly,none,y,640,0.033333333,4.5,2,0,0.3,,n,y,
P1010032.JPG,lab-4galBucket-blackInkOnly,none,y,640,0.033333333,4.5,2,0,0.3,,n,y,
P1010033.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010034.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010035.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010036.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010037.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010038.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010039.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.066666667,4.5,2,0,0.3,,n,y,
P1010040.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.066666667,4.5,2,0,0.3,,n,y,
P1010041.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.076923077,4.5,2,0,0.3,,n,y,
P1010042.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.1,4.5,2,0,0.3,,n,y,
P1010043.JPG,lab-4galBucket-blackInkOnly,none,y,4000,0.02,4.5,2,0,0.3,,n,y,
P1010044.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.1,4.5,2,0,0.3,,n,y,
P1010045.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010046.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010047.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010048.JPG,lab-4galBucket-blackInkOnly,none,y,5000,0.033333333,4.5,2,0,0.3,,n,y,
P1010049.JPG,lab-4galBucket-blackInkOnly,none,y,4000,0.05,4.5,2,0,0.3,,n,y,
P1010050.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010051.JPG,lab-4galBucket-blackInkOnly,none,y,1600,0.125,4.5,2,0,0.3,,n,y,
P1010052.JPG,lab-4galBucket-blackInkOnly,none,y,1600,0.125,4.5,2,0,0.3,,n,y,
P1010053.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment1,none,y,400,0.033333333,4.5,2,0,0,,n,y,
P1010054.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment2,none,y,400,0.033333333,4.5,2,0,0,,n,y,
P1010055.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment3,none,y,500,0.033333333,4.5,2,0,3.35,,n,y,
P1010056.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment4,none,y,500,0.033333333,4.5,2,0,3.35,,n,y,
P1010057.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment5,none,y,500,0.033333333,4.5,2,0,6.39,,n,y,
P1010058.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment6,none,y,500,0.033333333,4.5,2,0,6.39,,n,y,
P1010059.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment7,none,y,640,0.033333333,4.5,2,0,9.48,,n,y,
P1010060.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment8,none,y,640,0.033333333,4.5,2,0,9.48,,n,y,
