Image Name,Site,Substrate,Auto,ISO,ShutterSpeed,FocalLength,FStop,WhiteBalance,FNU,DOC,Flow,Secchi,TSS
P1010025.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.0125,4.5,2,0,0.3,,n,y,
P1010026.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.016666667,4.5,2,0,0.3,,n,y,
P1010027.JPG,lab-4galBucket-blackInkOnly,none,y,250,0.033333333,4.5,2,0,0.3,,n,y,
P1010028.JPG,lab-4galBucket-blackInkOnly,none,y,200,0.033333333,4.5,2,0,0.3,,n,y,
P1010029.JPG,lab-4galBucket-blackInkOnly,none,y,320,0.033333333,4.5,2,0,0.3,,n,y,
P1010030.JPG,lab-4galBucket-blackInkOnly,none,y,250,0.033333333,4.5,2,0,0.3,,n,y,
P1010031.JPG,lab-4galBucket-blackInkOnly,none,y,640,0.033333333,4.5,2,0,0.3,,n,y,
P1010032.JPG,lab-4galBucket-blackInkOnly,none,y,640,0.033333333,4.5,2,0,0.3,,n,y,
P1010033.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010034.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010035.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.033333333,4.5,2,0,0.3,,n,y,
P1010036.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010037.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010038.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.04,4.5,2,0,0.3,,n,y,
P1010039.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.066666667,4.5,2,0,0.3,,n,y,
P1010040.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.066666667,4.5,2,0,0.3,,n,y,
P1010041.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.076923077,4.5,2,0,0.3,,n,y,
P1010042.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.1,4.5,2,0,0.3,,n,y,
P1010043.JPG,lab-4galBucket-blackInkOnly,none,y,4000,0.02,4.5,2,0,0.3,,n,y,
P1010044.JPG,lab-4galBucket-blackInkOnly,none,y,800,0.1,4.5,2,0,0.3,,n,y,
P1010045.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010046.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010047.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010048.JPG,lab-4galBucket-blackInkOnly,none,y,5000,0.033333333,4.5,2,0,0.3,,n,y,
P1010049.JPG,lab-4galBucket-blackInkOnly,none,y,4000,0.05,4.5,2,0,0.3,,n,y,
P1010050.JPG,lab-4galBucket-blackInkOnly,none,y,1000,0.125,4.5,2,0,0.3,,n,y,
P1010051.JPG,lab-4galBucket-blackInkOnly,none,y,1600,0.125,4.5,2,0,0.3,,n,y,
P1010052.JPG,lab-4galBucket-blackInkOnly,none,y,1600,0.125,4.5,2,0,0.3,,n,y,
