Image Name,Site,Substrate,Auto,ISO,ShutterSpeed,FocalLength,FStop,WhiteBalance,FNU,DOC,Flow,Secchi,TSS
P1010053.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment1,none,y,400,0.033333333,4.5,2,0,0,,n,y,
P1010054.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment2,none,y,400,0.033333333,4.5,2,0,0,,n,y,
P1010055.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment3,none,y,500,0.033333333,4.5,2,0,3.35,,n,y,
P1010056.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment4,none,y,500,0.033333333,4.5,2,0,3.35,,n,y,
P1010057.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment5,none,y,500,0.033333333,4.5,2,0,6.39,,n,y,
P1010058.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment6,none,y,500,0.033333333,4.5,2,0,6.39,,n,y,
P1010059.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment7,none,y,640,0.033333333,4.5,2,0,9.48,,n,y,
P1010060.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment8,none,y,640,0.033333333,4.5,2,0,9.48,,n,y,
P1010061.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment9,none,y,640,0.033333333,4.5,2,0,13.5,,n,y,
P1010062.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment10,none,y,800,0.033333333,4.5,2,0,13.5,,n,y,
P1010063.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment11,none,y,800,0.033333333,4.5,2,0,18.3,,n,y,
P1010064.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment12,none,y,800,0.033333333,4.5,2,0,18.3,,n,y,
P1010065.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment13,none,y,800,0.033333333,4.5,2,0,22.1,,n,y,
P1010066.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment14,none,y,800,0.033333333,4.5,2,0,22.1,,n,y,
P1010067.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment15,none,y,800,0.033333333,4.5,2,0,29.1,,n,y,
P1010068.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment16,none,y,800,0.033333333,4.5,2,0,29.1,,n,y,
P1010069.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment17,none,y,800,0.033333333,4.5,2,0,32.2,,n,y,
P1010070.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment18,none,y,800,0.033333333,4.5,2,0,32.2,,n,y,
P1010071.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment19,none,y,800,0.04,4.5,2,0,40.7,,n,y,
P1010072.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment20,none,y,800,0.033333333,4.5,2,0,40.7,,n,y,
P1010073.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment21,none,y,800,0.033333333,4.5,2,0,46,,n,y,
P1010074.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment22,none,y,800,0.033333333,4.5,2,0,46,,n,y,
P1010075.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment23,none,y,800,0.04,4.5,2,0,49.7,,n,y,
P1010076.JPG,lab - 4gal Bucket-0.2ml Black Ink - Sediment24,none,y,800,0.033333333,4.5,2,0,49.7,,n,y,
